Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
Bhoomki	158 5th Ave Brooklyn NY 11217	https://instagram.com/bhoomki_boutique/		http://www.bhoomki.com/		
Anthropologie	50 Rockefeller Plz NY 10020			http://anthropologie.com		
Steven Alan	103 Franklin St NY 10013	https://instagram.com/stevenalan/		http://www.stevenalan.com/		
LOFT	1459 Broadway NY 10036	https://instagram.com/loft/		http://www.loft.com/?cid=yxt_ps_local		
Brooklyn Industries	500 Hudson St NY 10014			http://brooklynindustries.com		
Wolves Within	174 Franklin St Brooklyn NY 11222	https://instagram.com/shopwolveswithin/		http://www.wolveswithin.com/		
American Apparel	704 Broadway NY 10003			http://americanapparel.net		
Francesca's	2345 Broadway NY 10024	https://instagram.com/francescascollections/		http://www.francescas.com/store-locator/2345+broadway.do		
Teddy	202 5th Ave Brooklyn 11217	https://instagram.com/shopteddy/		http://shop.shopteddy.com/		
Vinnie's Styles	160 Flatbush Ave Brooklyn NY 11217	https://instagram.com/vinniesstyles/?hl=en		http://www.vinniesnyc.com/#!shop/c15uw		
Acne Studios	33 Greene St NY 10013	https://instagram.com/acnestudios/		http://www.acnestudios.com/		
Shareen	13 W 17th St 2nd FL NY 10011	https://instagram.com/shareendotcom/		http://shareen.com/		
Martine's Dream	681 Nostrand Ave Brooklyn NY 11216	https://instagram.com/martinesdream/		http://www.martinesdream.com/		
Darling	1 Horatio St NY 10014	https://instagram.com/darlingnyc/		http://www.yelp.com/biz/darling-new-york		
Oak	28 Bond St NY 10012	https://instagram.com/oaknyc/		http://www.oaknyc.com/		
Rosebud Vintage	721 Franklin Ave Brooklyn, NY 11238	https://instagram.com/rosebudvintage/		http://www.rosebudvintage.com/		
3x1	15 Mercer St Manhattan, NY 10013	https://instagram.com/3x1		http://3x1.us/		
Pookie & Sebastian	541 3rd Ave NY 10016	https://instagram.com/pookieandsebastian/		http://www.pookieandsebastian.com/		
Edith Machinist	104 Rivington St NY 10002	https://instagram.com/edithmachinist/		http://www.edithmachinist.com/		
Aritzia	600 5th Ave NY 10016	https://instagram.com/aritzia/		http://us.aritzia.com/		
Calypso Au Marche	426 Broome St NY 10013	https://instagram.com/calypsostbarth/		http://www.calypsostbarth.com/		
Jeffrey	449 W 14th St NY 10014	https://instagram.com/jeffreyatlantanewyork/		http://shop.jeffreynewyork.com/eshop.cfm		
Myths of Creation	421 Graham Ave Brooklyn NY 11211	https://instagram.com/mythsofcreation/		http://mythsofcreation.com/		
SuperDry	718 Broadway Manhattan NY 10003	https://instagram.com/superdryglobal/?hl=en		http://www.superdry.com/		
Phillip Lim	48 Great Jones St NY 10012	https://instagram.com/31philliplim/		https://www.31philliplim.com/		
Yellow Rat Bastard	483 Broadway NY 10013	https://instagram.com/yellowratbastardnyc/		https://www.yellowratbastard.com/		
Dejavu Tailoring	223 E 60th St NY 10022	https://instagram.com/DejavuNYC/		http://dejavu.nyc/		
